birthdate,name,house,has_kids,age
1981-08-11,Ginny,Gryffindor,3,44
1981-02-13,Luna,Ravenclaw,0,44
1980-07-31,Harry,Gryffindor,3,45
1980-07-30,Neville,Gryffindor,0,45
1980-06-05,Draco,Slytherin,1,45
1980-03-01,Ron,Gryffindor,2,45
1979-09-19,Hermione,Gryffindor,2,46
1978-04-01,Fred,Gryffindor,0,47
1978-04-01,George,Gryffindor,0,47
1977-09-29,Cedric,Hufflepuff,0,48
1976-08-22,Percy,Gryffindor,0,49
1972-12-25,Tonks,Hufflepuff,1,53
1972-12-12,Charlie,Gryffindor,0,53
1970-11-29,Bill,Gryffindor,0,55
1960-03-27,James,Gryffindor,1,65
1960-03-10,Lupin,Gryffindor,1,65
1960-01-09,Snape,Slytherin,0,66
1959-11-03,Sirius,Gryffindor,0,66
1951-12-13,Bella,Slytherin,1,74
1950-02-06,Arthur,Gryffindor,7,76
1949-10-30,Molly,Gryffindor,7,76
1935-10-04,Minerva,Gryffindor,0,90
1928-12-06,Hagrid,Gryffindor,0,97
1926-12-31,Voldemort,Slytherin,1,99
1881-08-29,Dumbledore,Gryffindor,0,144
